,id,cntrid,uid,x,y,iw,ih,size,imgpath
0,c12_283_168_152,283,19,700,168,98,65,6370,./img/img_c12_283_168_152.jpg
0,c12_283_168_160,283,20,708,168,98,65,6370,./img/img_c12_283_168_160.jpg
0,c12_283_168_168,283,21,716,168,98,65,6370,./img/img_c12_283_168_168.jpg
0,c12_283_168_176,283,22,724,168,98,65,6370,./img/img_c12_283_168_176.jpg
0,c12_283_168_184,283,23,732,168,98,65,6370,./img/img_c12_283_168_184.jpg
0,c12_283_168_192,283,24,740,168,98,65,6370,./img/img_c12_283_168_192.jpg
0,c12_283_168_200,283,25,748,168,98,65,6370,./img/img_c12_283_168_200.jpg
0,c12_283_168_208,283,26,756,168,98,59,5782,./img/img_c12_283_168_208.jpg
0,c12_283_168_208,283,27,756,168,97,64,6208,./img/img_c12_283_168_208.jpg
0,c12_306_170_0,306,0,664,170,39,26,1014,./img/img_c12_306_170_0.jpg
0,c12_306_170_4,306,1,668,170,39,26,1014,./img/img_c12_306_170_4.jpg
0,c12_306_170_8,306,2,672,170,39,26,1014,./img/img_c12_306_170_8.jpg
0,c12_306_170_12,306,3,676,170,39,26,1014,./img/img_c12_306_170_12.jpg
0,c12_306_170_16,306,4,680,170,39,26,1014,./img/img_c12_306_170_16.jpg
0,c12_306_170_20,306,5,684,170,39,26,1014,./img/img_c12_306_170_20.jpg
0,c12_306_170_24,306,6,688,170,39,25,975,./img/img_c12_306_170_24.jpg
0,c12_306_170_24,306,7,688,170,38,25,950,./img/img_c12_306_170_24.jpg
0,c12_302_201_0,302,0,729,201,60,40,2400,./img/img_c12_302_201_0.jpg
0,c12_302_201_4,302,1,733,201,60,36,2160,./img/img_c12_302_201_4.jpg
0,c12_302_201_4,302,2,733,201,59,39,2301,./img/img_c12_302_201_4.jpg
0,c12_301_202_0,301,0,612,202,60,40,2400,./img/img_c12_301_202_0.jpg
0,c12_301_202_4,301,1,616,202,60,40,2400,./img/img_c12_301_202_4.jpg
0,c12_301_202_8,301,2,620,202,60,40,2400,./img/img_c12_301_202_8.jpg
0,c12_301_202_12,301,3,624,202,60,40,2400,./img/img_c12_301_202_12.jpg
0,c12_301_202_16,301,4,628,202,60,40,2400,./img/img_c12_301_202_16.jpg
0,c12_301_202_20,301,5,632,202,60,40,2400,./img/img_c12_301_202_20.jpg
0,c12_301_202_24,301,6,636,202,60,38,2280,./img/img_c12_301_202_24.jpg
0,c12_301_202_24,301,7,636,202,59,39,2301,./img/img_c12_301_202_24.jpg
0,c12_299_203_0,299,0,549,203,24,16,384,./img/img_c12_299_203_0.jpg
0,c12_299_203_4,299,1,553,203,24,16,384,./img/img_c12_299_203_4.jpg
0,c12_299_203_8,299,2,557,203,24,15,360,./img/img_c12_299_203_8.jpg
0,c12_299_203_8,299,3,557,203,23,15,345,./img/img_c12_299_203_8.jpg
0,c12_298_203_0,298,0,576,203,41,26,1066,./img/img_c12_298_203_0.jpg
0,c12_298_203_0,298,1,576,203,40,26,1040,./img/img_c12_298_203_0.jpg
0,c12_297_203_0,297,0,673,203,60,40,2400,./img/img_c12_297_203_0.jpg
0,c12_297_203_4,297,1,677,203,60,40,2400,./img/img_c12_297_203_4.jpg
0,c12_297_203_8,297,2,681,203,60,40,2400,./img/img_c12_297_203_8.jpg
0,c12_297_203_12,297,3,685,203,60,40,2400,./img/img_c12_297_203_12.jpg
0,c12_297_203_16,297,4,689,203,60,40,2400,./img/img_c12_297_203_16.jpg
0,c12_297_203_20,297,5,693,203,60,38,2280,./img/img_c12_297_203_20.jpg
0,c12_297_203_20,297,6,693,203,59,39,2301,./img/img_c12_297_203_20.jpg
0,c12_296_205_0,296,0,593,205,23,15,345,./img/img_c12_296_205_0.jpg
0,c12_296_205_4,296,1,597,205,23,15,345,./img/img_c12_296_205_4.jpg
0,c12_296_205_8,296,2,601,205,23,11,253,./img/img_c12_296_205_8.jpg
0,c12_296_205_8,296,3,601,205,22,14,308,./img/img_c12_296_205_8.jpg
0,c12_295_205_0,295,0,687,205,50,28,1400,./img/img_c12_295_205_0.jpg
0,c12_295_205_0,295,1,687,205,49,32,1568,./img/img_c12_295_205_0.jpg
0,c12_294_207_0,294,0,567,207,26,17,442,./img/img_c12_294_207_0.jpg
0,c12_294_207_4,294,1,571,207,26,14,364,./img/img_c12_294_207_4.jpg
0,c12_294_207_4,294,2,571,207,25,16,400,./img/img_c12_294_207_4.jpg
0,c12_293_207_0,293,0,638,207,23,15,345,./img/img_c12_293_207_0.jpg
0,c12_293_207_4,293,1,642,207,23,12,276,./img/img_c12_293_207_4.jpg
0,c12_293_207_4,293,2,642,207,22,14,308,./img/img_c12_293_207_4.jpg
0,c12_292_207_0,292,0,777,207,46,28,1288,./img/img_c12_292_207_0.jpg
0,c12_292_207_0,292,1,777,207,45,30,1350,./img/img_c12_292_207_0.jpg
0,c12_288_232_0,288,0,564,232,14,9,126,./img/img_c12_288_232_0.jpg
0,c12_288_232_4,288,1,568,232,14,9,126,./img/img_c12_288_232_4.jpg
0,c12_288_232_8,288,2,572,232,14,6,84,./img/img_c12_288_232_8.jpg
0,c12_288_232_8,288,3,572,232,13,8,104,./img/img_c12_288_232_8.jpg
0,c12_287_233_0,287,0,638,233,23,15,345,./img/img_c12_287_233_0.jpg
0,c12_287_233_4,287,1,642,233,23,13,299,./img/img_c12_287_233_4.jpg
0,c12_287_233_4,287,2,642,233,22,14,308,./img/img_c12_287_233_4.jpg
0,c12_286_240_0,286,0,592,240,20,13,260,./img/img_c12_286_240_0.jpg
0,c12_286_240_4,286,1,596,240,20,13,260,./img/img_c12_286_240_4.jpg
0,c12_286_240_8,286,2,600,240,20,11,220,./img/img_c12_286_240_8.jpg
0,c12_286_240_8,286,3,600,240,19,12,228,./img/img_c12_286_240_8.jpg
0,c12_285_241_0,285,0,567,241,20,13,260,./img/img_c12_285_241_0.jpg
0,c12_285_241_4,285,1,571,241,20,13,260,./img/img_c12_285_241_4.jpg
0,c12_285_241_8,285,2,575,241,20,12,240,./img/img_c12_285_241_8.jpg
0,c12_285_241_8,285,3,575,241,19,12,228,./img/img_c12_285_241_8.jpg
0,c12_284_247_0,284,0,771,247,14,9,126,./img/img_c12_284_247_0.jpg
0,c12_284_247_4,284,1,775,247,14,9,126,./img/img_c12_284_247_4.jpg
0,c12_284_247_8,284,2,779,247,14,9,126,./img/img_c12_284_247_8.jpg
0,c12_284_247_12,284,3,783,247,14,9,126,./img/img_c12_284_247_12.jpg
0,c12_284_247_16,284,4,787,247,14,9,126,./img/img_c12_284_247_16.jpg
0,c12_284_247_20,284,5,791,247,14,9,126,./img/img_c12_284_247_20.jpg
0,c12_284_247_24,284,6,795,247,14,9,126,./img/img_c12_284_247_24.jpg
0,c12_284_247_28,284,7,799,247,14,9,126,./img/img_c12_284_247_28.jpg
0,c12_284_247_32,284,8,803,247,14,9,126,./img/img_c12_284_247_32.jpg
0,c12_284_247_36,284,9,807,247,14,7,98,./img/img_c12_284_247_36.jpg
0,c12_284_247_36,284,10,807,247,13,8,104,./img/img_c12_284_247_36.jpg
0,c12_266_263_0,266,0,565,263,74,49,3626,./img/img_c12_266_263_0.jpg
0,c12_266_263_6,266,1,571,263,74,49,3626,./img/img_c12_266_263_6.jpg
0,c12_266_263_12,266,2,577,263,74,49,3626,./img/img_c12_266_263_12.jpg
0,c12_266_263_18,266,3,583,263,74,49,3626,./img/img_c12_266_263_18.jpg
0,c12_266_263_24,266,4,589,263,74,49,3626,./img/img_c12_266_263_24.jpg
0,c12_266_263_30,266,5,595,263,74,49,3626,./img/img_c12_266_263_30.jpg
0,c12_266_263_36,266,6,601,263,74,49,3626,./img/img_c12_266_263_36.jpg
0,c12_266_263_42,266,7,607,263,74,49,3626,./img/img_c12_266_263_42.jpg
0,c12_266_263_48,266,8,613,263,74,49,3626,./img/img_c12_266_263_48.jpg
0,c12_266_263_54,266,9,619,263,74,49,3626,./img/img_c12_266_263_54.jpg
0,c12_266_263_60,266,10,625,263,74,49,3626,./img/img_c12_266_263_60.jpg
0,c12_266_263_66,266,11,631,263,74,49,3626,./img/img_c12_266_263_66.jpg
0,c12_266_263_72,266,12,637,263,74,49,3626,./img/img_c12_266_263_72.jpg
0,c12_266_263_78,266,13,643,263,74,49,3626,./img/img_c12_266_263_78.jpg
0,c12_266_263_84,266,14,649,263,74,49,3626,./img/img_c12_266_263_84.jpg
0,c12_266_263_90,266,15,655,263,74,49,3626,./img/img_c12_266_263_90.jpg
0,c12_266_263_96,266,16,661,263,74,49,3626,./img/img_c12_266_263_96.jpg
0,c12_266_263_102,266,17,667,263,74,49,3626,./img/img_c12_266_263_102.jpg
0,c12_266_263_108,266,18,673,263,74,49,3626,./img/img_c12_266_263_108.jpg
0,c12_266_263_114,266,19,679,263,74,49,3626,./img/img_c12_266_263_114.jpg
0,c12_266_263_120,266,20,685,263,74,49,3626,./img/img_c12_266_263_120.jpg
0,c12_266_263_126,266,21,691,263,74,49,3626,./img/img_c12_266_263_126.jpg
0,c12_266_263_132,266,22,697,263,74,49,3626,./img/img_c12_266_263_132.jpg
0,c12_266_263_138,266,23,703,263,74,49,3626,./img/img_c12_266_263_138.jpg
0,c12_266_263_144,266,24,709,263,74,49,3626,./img/img_c12_266_263_144.jpg
0,c12_266_263_150,266,25,715,263,74,49,3626,./img/img_c12_266_263_150.jpg
0,c12_266_263_156,266,26,721,263,74,49,3626,./img/img_c12_266_263_156.jpg
0,c12_266_263_162,266,27,727,263,74,49,3626,./img/img_c12_266_263_162.jpg
0,c12_266_263_168,266,28,733,263,74,49,3626,./img/img_c12_266_263_168.jpg
0,c12_266_263_174,266,29,739,263,74,49,3626,./img/img_c12_266_263_174.jpg
0,c12_266_263_180,266,30,745,263,74,49,3626,./img/img_c12_266_263_180.jpg
0,c12_266_263_186,266,31,751,263,74,49,3626,./img/img_c12_266_263_186.jpg
0,c12_266_263_192,266,32,757,263,74,49,3626,./img/img_c12_266_263_192.jpg
0,c12_266_263_198,266,33,763,263,74,49,3626,./img/img_c12_266_263_198.jpg
0,c12_266_263_204,266,34,769,263,74,49,3626,./img/img_c12_266_263_204.jpg
0,c12_266_263_210,266,35,775,263,74,49,3626,./img/img_c12_266_263_210.jpg
0,c12_266_263_216,266,36,781,263,74,45,3330,./img/img_c12_266_263_216.jpg
0,c12_266_263_216,266,37,781,263,73,48,3504,./img/img_c12_266_263_216.jpg
0,c12_281_265_0,281,0,770,265,48,32,1536,./img/img_c12_281_265_0.jpg
0,c12_281_265_4,281,1,774,265,48,32,1536,./img/img_c12_281_265_4.jpg
0,c12_281_265_8,281,2,778,265,48,29,1392,./img/img_c12_281_265_8.jpg
0,c12_281_265_8,281,3,778,265,47,31,1457,./img/img_c12_281_265_8.jpg
0,c12_280_266_0,280,0,717,266,62,41,2542,./img/img_c12_280_266_0.jpg
0,c12_280_266_5,280,1,722,266,62,41,2542,./img/img_c12_280_266_5.jpg
0,c12_280_266_10,280,2,727,266,62,41,2542,./img/img_c12_280_266_10.jpg
0,c12_280_266_15,280,3,732,266,62,37,2294,./img/img_c12_280_266_15.jpg
0,c12_280_266_15,280,4,732,266,61,40,2440,./img/img_c12_280_266_15.jpg
0,c12_279_267_0,279,0,612,267,62,41,2542,./img/img_c12_279_267_0.jpg
0,c12_279_267_5,279,1,617,267,62,41,2542,./img/img_c12_279_267_5.jpg
0,c12_279_267_10,279,2,622,267,62,41,2542,./img/img_c12_279_267_10.jpg
0,c12_279_267_15,279,3,627,267,62,41,2542,./img/img_c12_279_267_15.jpg
0,c12_279_267_20,279,4,632,267,62,41,2542,./img/img_c12_279_267_20.jpg
0,c12_279_267_25,279,5,637,267,62,41,2542,./img/img_c12_279_267_25.jpg
0,c12_279_267_30,279,6,642,267,62,41,2542,./img/img_c12_279_267_30.jpg
0,c12_279_267_35,279,7,647,267,62,41,2542,./img/img_c12_279_267_35.jpg
0,c12_279_267_40,279,8,652,267,62,41,2542,./img/img_c12_279_267_40.jpg
0,c12_279_267_45,279,9,657,267,62,41,2542,./img/img_c12_279_267_45.jpg
0,c12_279_267_50,279,10,662,267,62,41,2542,./img/img_c12_279_267_50.jpg
0,c12_279_267_55,279,11,667,267,62,41,2542,./img/img_c12_279_267_55.jpg
0,c12_279_267_60,279,12,672,267,62,41,2542,./img/img_c12_279_267_60.jpg
0,c12_279_267_65,279,13,677,267,62,40,2480,./img/img_c12_279_267_65.jpg
0,c12_279_267_65,279,14,677,267,61,40,2440,./img/img_c12_279_267_65.jpg
0,c12_278_269_0,278,0,566,269,60,40,2400,./img/img_c12_278_269_0.jpg
0,c12_278_269_4,278,1,570,269,60,40,2400,./img/img_c12_278_269_4.jpg
0,c12_278_269_8,278,2,574,269,60,37,2220,./img/img_c12_278_269_8.jpg
0,c12_278_269_8,278,3,574,269,59,39,2301,./img/img_c12_278_269_8.jpg
0,c12_263_271_0,263,0,674,271,52,31,1612,./img/img_c12_263_271_0.jpg
0,c12_263_271_0,263,1,674,271,51,34,1734,./img/img_c12_263_271_0.jpg
0,c12_277_271_0,277,0,746,271,18,12,216,./img/img_c12_277_271_0.jpg
0,c12_277_271_4,277,1,750,271,18,12,216,./img/img_c12_277_271_4.jpg
0,c12_277_271_8,277,2,754,271,18,12,216,./img/img_c12_277_271_8.jpg
0,c12_277_271_12,277,3,758,271,18,9,162,./img/img_c12_277_271_12.jpg
0,c12_277_271_12,277,4,758,271,17,11,187,./img/img_c12_277_271_12.jpg
0,c12_276_273_0,276,0,734,273,47,21,987,./img/img_c12_276_273_0.jpg
0,c12_276_273_0,276,1,734,273,46,30,1380,./img/img_c12_276_273_0.jpg
0,c12_275_274_0,275,0,585,274,21,14,294,./img/img_c12_275_274_0.jpg
0,c12_275_274_4,275,1,589,274,21,14,294,./img/img_c12_275_274_4.jpg
0,c12_275_274_8,275,2,593,274,21,14,294,./img/img_c12_275_274_8.jpg
0,c12_275_274_12,275,3,597,274,21,14,294,./img/img_c12_275_274_12.jpg
0,c12_275_274_16,275,4,601,274,21,11,231,./img/img_c12_275_274_16.jpg
0,c12_275_274_16,275,5,601,274,20,13,260,./img/img_c12_275_274_16.jpg
0,c12_274_274_0,274,0,622,274,47,30,1410,./img/img_c12_274_274_0.jpg
0,c12_274_274_0,274,1,622,274,46,30,1380,./img/img_c12_274_274_0.jpg
0,c12_264_274_0,264,0,675,274,46,29,1334,./img/img_c12_264_274_0.jpg
0,c12_264_274_0,264,1,675,274,45,30,1350,./img/img_c12_264_274_0.jpg
0,c12_272_292_0,272,0,767,292,28,19,532,./img/img_c12_272_292_0.jpg
0,c12_272_292_4,272,1,771,292,28,19,532,./img/img_c12_272_292_4.jpg
0,c12_272_292_8,272,2,775,292,28,19,532,./img/img_c12_272_292_8.jpg
0,c12_272_292_12,272,3,779,292,28,18,504,./img/img_c12_272_292_12.jpg
0,c12_272_292_12,272,4,779,292,27,18,486,./img/img_c12_272_292_12.jpg
0,c12_256_339_0,256,0,693,339,30,20,600,./img/img_c12_256_339_0.jpg
0,c12_256_339_4,256,1,697,339,30,20,600,./img/img_c12_256_339_4.jpg
0,c12_256_339_8,256,2,701,339,30,20,600,./img/img_c12_256_339_8.jpg
0,c12_256_339_12,256,3,705,339,30,20,600,./img/img_c12_256_339_12.jpg
0,c12_256_339_16,256,4,709,339,30,20,600,./img/img_c12_256_339_16.jpg
0,c12_256_339_20,256,5,713,339,30,20,600,./img/img_c12_256_339_20.jpg
0,c12_256_339_24,256,6,717,339,30,20,600,./img/img_c12_256_339_24.jpg
0,c12_256_339_28,256,7,721,339,30,20,600,./img/img_c12_256_339_28.jpg
0,c12_256_339_32,256,8,725,339,30,20,600,./img/img_c12_256_339_32.jpg
0,c12_256_339_36,256,9,729,339,30,20,600,./img/img_c12_256_339_36.jpg
0,c12_256_339_40,256,10,733,339,30,20,600,./img/img_c12_256_339_40.jpg
0,c12_256_339_44,256,11,737,339,30,20,600,./img/img_c12_256_339_44.jpg
0,c12_256_339_48,256,12,741,339,30,20,600,./img/img_c12_256_339_48.jpg
0,c12_256_339_52,256,13,745,339,30,20,600,./img/img_c12_256_339_52.jpg
0,c12_256_339_56,256,14,749,339,30,20,600,./img/img_c12_256_339_56.jpg
0,c12_256_339_60,256,15,753,339,30,20,600,./img/img_c12_256_339_60.jpg
0,c12_256_339_64,256,16,757,339,30,16,480,./img/img_c12_256_339_64.jpg
0,c12_256_339_64,256,17,757,339,29,19,551,./img/img_c12_256_339_64.jpg
0,c12_253_340_0,253,0,596,340,29,19,551,./img/img_c12_253_340_0.jpg
0,c12_253_340_4,253,1,600,340,29,19,551,./img/img_c12_253_340_4.jpg
0,c12_253_340_8,253,2,604,340,29,19,551,./img/img_c12_253_340_8.jpg
0,c12_253_340_12,253,3,608,340,29,19,551,./img/img_c12_253_340_12.jpg
0,c12_253_340_16,253,4,612,340,29,19,551,./img/img_c12_253_340_16.jpg
0,c12_253_340_20,253,5,616,340,29,19,551,./img/img_c12_253_340_20.jpg
0,c12_253_340_24,253,6,620,340,29,19,551,./img/img_c12_253_340_24.jpg
0,c12_253_340_28,253,7,624,340,29,19,551,./img/img_c12_253_340_28.jpg
0,c12_253_340_32,253,8,628,340,29,19,551,./img/img_c12_253_340_32.jpg
0,c12_253_340_36,253,9,632,340,29,19,551,./img/img_c12_253_340_36.jpg
0,c12_253_340_40,253,10,636,340,29,18,522,./img/img_c12_253_340_40.jpg
0,c12_253_340_40,253,11,636,340,28,18,504,./img/img_c12_253_340_40.jpg
0,c12_250_340_0,250,0,662,340,29,19,551,./img/img_c12_250_340_0.jpg
0,c12_250_340_4,250,1,666,340,29,19,551,./img/img_c12_250_340_4.jpg
0,c12_250_340_8,250,2,670,340,29,15,435,./img/img_c12_250_340_8.jpg
0,c12_250_340_8,250,3,670,340,28,18,504,./img/img_c12_250_340_8.jpg
0,c12_260_343_0,260,0,708,343,20,13,260,./img/img_c12_260_343_0.jpg
0,c12_260_343_4,260,1,712,343,20,13,260,./img/img_c12_260_343_4.jpg
0,c12_260_343_8,260,2,716,343,20,9,180,./img/img_c12_260_343_8.jpg
0,c12_260_343_8,260,3,716,343,19,12,228,./img/img_c12_260_343_8.jpg
0,c12_249_404_0,249,0,624,404,26,17,442,./img/img_c12_249_404_0.jpg
0,c12_249_404_4,249,1,628,404,26,17,442,./img/img_c12_249_404_4.jpg
0,c12_249_404_8,249,2,632,404,26,17,442,./img/img_c12_249_404_8.jpg
0,c12_249_404_12,249,3,636,404,26,17,442,./img/img_c12_249_404_12.jpg
0,c12_249_404_16,249,4,640,404,26,17,442,./img/img_c12_249_404_16.jpg
0,c12_249_404_20,249,5,644,404,26,17,442,./img/img_c12_249_404_20.jpg
0,c12_249_404_24,249,6,648,404,26,17,442,./img/img_c12_249_404_24.jpg
0,c12_249_404_28,249,7,652,404,26,17,442,./img/img_c12_249_404_28.jpg
0,c12_249_404_32,249,8,656,404,26,17,442,./img/img_c12_249_404_32.jpg
0,c12_249_404_36,249,9,660,404,26,17,442,./img/img_c12_249_404_36.jpg
0,c12_249_404_40,249,10,664,404,26,17,442,./img/img_c12_249_404_40.jpg
0,c12_249_404_44,249,11,668,404,26,17,442,./img/img_c12_249_404_44.jpg
0,c12_249_404_48,249,12,672,404,26,17,442,./img/img_c12_249_404_48.jpg
0,c12_249_404_52,249,13,676,404,26,17,442,./img/img_c12_249_404_52.jpg
0,c12_249_404_56,249,14,680,404,26,17,442,./img/img_c12_249_404_56.jpg
0,c12_249_404_60,249,15,684,404,26,17,442,./img/img_c12_249_404_60.jpg
0,c12_249_404_64,249,16,688,404,26,17,442,./img/img_c12_249_404_64.jpg
0,c12_249_404_68,249,17,692,404,26,17,442,./img/img_c12_249_404_68.jpg
0,c12_249_404_72,249,18,696,404,26,13,338,./img/img_c12_249_404_72.jpg
0,c12_249_404_72,249,19,696,404,25,16,400,./img/img_c12_249_404_72.jpg
0,c12_248_404_0,248,0,716,404,25,17,425,./img/img_c12_248_404_0.jpg
0,c12_248_404_4,248,1,720,404,25,17,425,./img/img_c12_248_404_4.jpg
0,c12_248_404_8,248,2,724,404,25,17,425,./img/img_c12_248_404_8.jpg
0,c12_248_404_12,248,3,728,404,25,17,425,./img/img_c12_248_404_12.jpg
0,c12_248_404_16,248,4,732,404,25,17,425,./img/img_c12_248_404_16.jpg
0,c12_248_404_20,248,5,736,404,25,14,350,./img/img_c12_248_404_20.jpg
0,c12_248_404_20,248,6,736,404,24,16,384,./img/img_c12_248_404_20.jpg
0,c12_247_427_0,247,0,655,427,28,19,532,./img/img_c12_247_427_0.jpg
0,c12_247_427_4,247,1,659,427,28,19,532,./img/img_c12_247_427_4.jpg
0,c12_247_427_8,247,2,663,427,28,19,532,./img/img_c12_247_427_8.jpg
0,c12_247_427_12,247,3,667,427,28,19,532,./img/img_c12_247_427_12.jpg
0,c12_247_427_16,247,4,671,427,28,19,532,./img/img_c12_247_427_16.jpg
0,c12_247_427_20,247,5,675,427,28,19,532,./img/img_c12_247_427_20.jpg
0,c12_247_427_24,247,6,679,427,28,19,532,./img/img_c12_247_427_24.jpg
0,c12_247_427_28,247,7,683,427,28,19,532,./img/img_c12_247_427_28.jpg
0,c12_247_427_32,247,8,687,427,28,19,532,./img/img_c12_247_427_32.jpg
0,c12_247_427_36,247,9,691,427,28,17,476,./img/img_c12_247_427_36.jpg
0,c12_247_427_36,247,10,691,427,27,18,486,./img/img_c12_247_427_36.jpg
0,c12_246_427_0,246,0,717,427,25,17,425,./img/img_c12_246_427_0.jpg
0,c12_246_427_4,246,1,721,427,25,17,425,./img/img_c12_246_427_4.jpg
0,c12_246_427_8,246,2,725,427,25,17,425,./img/img_c12_246_427_8.jpg
0,c12_246_427_12,246,3,729,427,25,17,425,./img/img_c12_246_427_12.jpg
0,c12_246_427_16,246,4,733,427,25,17,425,./img/img_c12_246_427_16.jpg
0,c12_246_427_20,246,5,737,427,25,17,425,./img/img_c12_246_427_20.jpg
0,c12_246_427_24,246,6,741,427,25,17,425,./img/img_c12_246_427_24.jpg
0,c12_246_427_28,246,7,745,427,25,17,425,./img/img_c12_246_427_28.jpg
0,c12_246_427_32,246,8,749,427,25,17,425,./img/img_c12_246_427_32.jpg
0,c12_246_427_36,246,9,753,427,25,17,425,./img/img_c12_246_427_36.jpg
0,c12_246_427_40,246,10,757,427,25,17,425,./img/img_c12_246_427_40.jpg
0,c12_246_427_44,246,11,761,427,25,17,425,./img/img_c12_246_427_44.jpg
0,c12_246_427_48,246,12,765,427,25,15,375,./img/img_c12_246_427_48.jpg
0,c12_246_427_48,246,13,765,427,24,16,384,./img/img_c12_246_427_48.jpg
0,c12_245_428_0,245,0,583,428,24,16,384,./img/img_c12_245_428_0.jpg
0,c12_245_428_4,245,1,587,428,24,16,384,./img/img_c12_245_428_4.jpg
0,c12_245_428_8,245,2,591,428,24,16,384,./img/img_c12_245_428_8.jpg
0,c12_245_428_12,245,3,595,428,24,16,384,./img/img_c12_245_428_12.jpg
0,c12_245_428_16,245,4,599,428,24,16,384,./img/img_c12_245_428_16.jpg
0,c12_245_428_20,245,5,603,428,24,13,312,./img/img_c12_245_428_20.jpg
0,c12_245_428_20,245,6,603,428,23,15,345,./img/img_c12_245_428_20.jpg
0,c12_244_428_0,244,0,625,428,25,17,425,./img/img_c12_244_428_0.jpg
0,c12_244_428_4,244,1,629,428,25,15,375,./img/img_c12_244_428_4.jpg
0,c12_244_428_4,244,2,629,428,24,16,384,./img/img_c12_244_428_4.jpg
0,c12_243_450_0,243,0,594,450,27,18,486,./img/img_c12_243_450_0.jpg
0,c12_243_450_4,243,1,598,450,27,18,486,./img/img_c12_243_450_4.jpg
0,c12_243_450_8,243,2,602,450,27,18,486,./img/img_c12_243_450_8.jpg
0,c12_243_450_12,243,3,606,450,27,18,486,./img/img_c12_243_450_12.jpg
0,c12_243_450_16,243,4,610,450,27,18,486,./img/img_c12_243_450_16.jpg
0,c12_243_450_20,243,5,614,450,27,18,486,./img/img_c12_243_450_20.jpg
0,c12_243_450_24,243,6,618,450,27,18,486,./img/img_c12_243_450_24.jpg
0,c12_243_450_28,243,7,622,450,27,18,486,./img/img_c12_243_450_28.jpg
0,c12_243_450_32,243,8,626,450,27,18,486,./img/img_c12_243_450_32.jpg
0,c12_243_450_36,243,9,630,450,27,18,486,./img/img_c12_243_450_36.jpg
0,c12_243_450_40,243,10,634,450,27,18,486,./img/img_c12_243_450_40.jpg
0,c12_243_450_44,243,11,638,450,27,18,486,./img/img_c12_243_450_44.jpg
0,c12_243_450_48,243,12,642,450,27,18,486,./img/img_c12_243_450_48.jpg
0,c12_243_450_52,243,13,646,450,27,18,486,./img/img_c12_243_450_52.jpg
0,c12_243_450_56,243,14,650,450,27,18,486,./img/img_c12_243_450_56.jpg
0,c12_243_450_60,243,15,654,450,27,18,486,./img/img_c12_243_450_60.jpg
0,c12_243_450_64,243,16,658,450,27,18,486,./img/img_c12_243_450_64.jpg
0,c12_243_450_68,243,17,662,450,27,18,486,./img/img_c12_243_450_68.jpg
0,c12_243_450_72,243,18,666,450,27,18,486,./img/img_c12_243_450_72.jpg
0,c12_243_450_76,243,19,670,450,27,15,405,./img/img_c12_243_450_76.jpg
0,c12_243_450_76,243,20,670,450,26,17,442,./img/img_c12_243_450_76.jpg
0,c12_242_450_0,242,0,698,450,25,17,425,./img/img_c12_242_450_0.jpg
0,c12_242_450_4,242,1,702,450,25,16,400,./img/img_c12_242_450_4.jpg
0,c12_242_450_4,242,2,702,450,24,16,384,./img/img_c12_242_450_4.jpg
0,c12_240_450_0,240,0,727,450,25,17,425,./img/img_c12_240_450_0.jpg
0,c12_240_450_4,240,1,731,450,25,17,425,./img/img_c12_240_450_4.jpg
